2025-06-11 18:15:22 EEST LOG:  database system was shut down at 2025-06-11 18:14:46 EEST
2025-06-11 18:16:22 EEST WARNING:  database "DoMusic" has a collation version mismatch
2025-06-11 18:16:22 EEST DETAIL:  The database was created using collation version 1540.3,1540.3, but the operating system provides version 1541.2,1541.2.
2025-06-11 18:16:22 EEST HINT:  Rebuild all objects in this database that use the default collation and run ALTER DATABASE "DoMusic" REFRESH COLLATION VERSION, or build PostgreSQL with the right library version.
2025-06-11 18:17:22 EEST WARNING:  database "DoMusic" has a collation version mismatch
2025-06-11 18:17:22 EEST DETAIL:  The database was created using collation version 1540.3,1540.3, but the operating system provides version 1541.2,1541.2.
2025-06-11 18:17:22 EEST HINT:  Rebuild all objects in this database that use the default collation and run ALTER DATABASE "DoMusic" REFRESH COLLATION VERSION, or build PostgreSQL with the right library version.
2025-06-11 18:18:22 EEST WARNING:  database "DoMusic" has a collation version mismatch
2025-06-11 18:18:22 EEST DETAIL:  The database was created using collation version 1540.3,1540.3, but the operating system provides version 1541.2,1541.2.
2025-06-11 18:18:22 EEST HINT:  Rebuild all objects in this database that use the default collation and run ALTER DATABASE "DoMusic" REFRESH COLLATION VERSION, or build PostgreSQL with the right library version.
